pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	strain	species	genus	family	order	class	phylum	kingdom	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	sample body site	refseq id	habitat	cell shape	id	summary_rank
Propionibacterium propionicum F0230a (767029.3)	2.0	Arachnia propionica F0230a	Arachnia propionica	Arachnia	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Human	767029.0	767029.3	GCF_000277715.1	2836836789.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Oral	Digestive system	Gram+	Anaerobe	0.0	Nonmotile	0.0	3449360.0	3175.0	2278669.0	66.0	3099.0	97.61	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/715/GCF_000277715.1_ASM27771v1	Arachnia.json					Arachnia	genus
Arcanobacterium haemolyticum DSM 20595 (644284.3)	2.0	Arcanobacterium haemolyticum DSM 20595	Arcanobacterium haemolyticum	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	Human	644284.0	644284.3	GCF_000092365.1	646564505.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Unclassified	Unclassified	Gram+	Facultative anaerobe	0.0	Nonmotile		1986154.0	1885.0	1055308.0	53.0	1821.0	96.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/365/GCF_000092365.1_ASM9236v1	Arcanobacterium.json					Arcanobacterium	genus
	0.0	Ardenticatena maritima	Ardenticatena maritima	Ardenticatena	Ardenticatenaceae	Ardenticatenales	Ardenticatenia	Chloroflexi	Bacteria	Human	872965.0		GCF_001293545.1	2651869644.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Facultative	0.0	0	0.0	3559695.0	3081.0	2120284.0	60.0	3026.0	98.21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/545/GCF_001293545.1_ASM129354v1	Ardenticatena.json	0.0	GCF_001293545.1	0.0	0.0	Ardenticatena	genus
	0.0	Arthrobacter castelli DSM 16402	Arthrobacter castelli	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human	1121019.0		GCF_000430705.1	2524023227.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Environmental	Unclassified	Unclassified	Unclassified	Gram+	Obligate aerobe	0.0	Nonmotile	0.0	4585800.0	4516.0	2915644.0	64.0	4452.0	98.58	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/705/GCF_000430705.1_ASM43070v1	Arthrobacter.json	0.0	GCF_000014025.1			Arthrobacter	genus
Escherichia hermannii NBRC 105704 (1115512.3)	2.0	Atlantibacter hermannii NBRC 105704	Atlantibacter hermannii	Atlantibacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	1115512.0	1115512.3	GCF_000248015.1	2514752030.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Unclassified	Skin	Gram-	Facultative	0.0	Motile	0.0	4495280.0	4229.0	2430901.0	54.0	4160.0	98.37	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/248/015/GCF_000248015.1_ASM24801v2	Atlantibacter.json	0.0	GCF_000191665.1			Atlantibacter	genus
Atopobium minutum 10063974 (997872.3)	2.0	Atopobium minutum 10063974	Atopobium minutum	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	Human	997872.0	997872.3	GCF_000364325.1	2531839302.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram+	Anaerobe	0.0	0	0.0	1706361.0	1590.0	835149.0	49.0	1539.0	96.79	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/325/GCF_000364325.1_Atop_minu_V1	Atopobium.json	0.0			0.0	Atopobium	genus
	0.0	Auritidibacter ignavus	Auritidibacter ignavus	Auritidibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human	678932.0		GCF_003703835.1	2831686037.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram+	0	0.0	0	0.0	2589795.0	2550.0	1536725.0	59.0	2478.0	97.18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/703/835/GCF_003703835.1_ASM370383v1	Auritidibacter.json	0.0	GCF_003703835.1	0.0	0.0	Auritidibacter	genus
Dechlorosoma suillum PS (640081.3)	0.0	Azospira oryzae PS	Azospira oryzae	Azospira	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria	Human	640081.0	640081.3	GCF_000236665.1	2508501046.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram-	Facultative	0.0	Nonmotile	0.0	3806980.0	3539.0	2488533.0	65.0	3474.0	98.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/665/GCF_000236665.1_ASM23666v1	Azospira.json	0.0				Azospira	genus
				Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+		0.0		0.0								Bacillus.json	0.0			0.0	Bacillus	genus
				Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria								0.0	0.0	Yes	0.0					Gram-	Obligate anaerobe	0.0		0.0								Bacteroides.json	0.0		0.0	0.0	Bacteroides	genus
				Barnesiella	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria								0.0	0.0							Gram-		0.0		0.0								Barnesiella.json	0.0		0.0	0.0	Barnesiella	genus
	2.0		Bartonella quintana	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated		Unclassified	Unclassified	Gram-	Aerobe	0.0	0	0.0				39.0				Bartonella.json	0.0			0.0	Bartonella	genus
			Bdellovibrio bacteriovorus	Bdellovibrio	Bdellovibrionaceae	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria	Human					https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes						Gram-	Aerobe	0.0		0.0								Bdellovibrio.json	0.0				Bdellovibrio	genus
	0.0	Beduini massiliensis DSM 100188	Beduini massiliensis	Beduini	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1585974.0		GCF_000829905.1		PMID:30745586	Literature research									Gram-											ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/905/GCF_000829905.1_Beduini_massiliensis_GM1	Beduini.json		GCF_000829905.1			Beduini	genus
				Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria								0.0	0.0	Yes	0.0					Gram+			Nonmotile									Bifidobacterium.json					Bifidobacterium	genus
				Bilophila	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Anaerobe	0.0	0	0.0				59.0				Bilophila.json		GCF_000224655.1			Bilophila	genus
	0.0	Bittarella massiliensis	Bittarella massiliensis	Bittarella	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1720313.0		GCF_001486165.1	2775506834.0	PMID:31477907	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram+	0	0.0	0	0.0	2803346.0	2676.0	1770118.0	63.0	2600.0	97.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/486/165/GCF_001486165.1_Bittarella_massiliensis	Bittarella.json	0.0		0.0	0.0	Bittarella	genus
	0.0	Candidatus Blastococcus massiliensis AP3	Candidatus Blastococcus massiliensis	Blastococcus	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria	Human	1211815.0		GCF_000582785.1	2600255077.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Aerobe	0.0	0	0.0	3864252.0	3841.0	2829888.0	73.0	3779.0	98.39	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/785/GCF_000582785.1_B.massiliensis	Blastococcus.json	0.0		0.0	0.0	Blastococcus	genus
				Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria								0.0	0.0	Yes	0.0					Gram+	Anaerobe	0.0		0.0								Blautia.json	0.0		0.0	0.0	Blautia	genus
	0.0		Bordetella hinzii	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human				2687453479.0			0.0	0.0	Yes	0.0	0	0	0	0	Gram-	0	0.0	0	0.0	4912977.0	4659.0	3294777.0	67.0	4577.0	98.24		Bordetella.json	0.0	GCF_001078275.1	0.0	0.0	Bordetella	genus
	0.0	Bosea thiooxidans	Bosea thiooxidans	Bosea	Boseaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Human	53254.0		GCF_900168195.1	2595698224.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Aerobe		Motile	0.0	5369373.0	5118.0	3618117.0	67.0	5055.0	98.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/168/195/GCF_900168195.1_IMG-taxon_2595698224_annotated_assembly	Bosea.json	0.0	GCF_900168195.1			Bosea	genus
Brachybacterium paraconglomeratum LC44 (1064537.3)	2.0	Brachybacterium paraconglomeratum LC44	Brachybacterium paraconglomeratum	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human	1064537.0	1064537.3	GCF_000233655.1	2548876523.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Facultative	0.0	0	0.0	3784483.0	3480.0	2738809.0	72.0	3405.0	97.84	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/655/GCF_000233655.1_LC44-4.0	Brachybacterium.json	0.0		0.0	0.0	Brachybacterium	genus
				Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria	Human							0.0	0.0							Gram-	Anaerobe	0.0		0.0								Brachyspira.json	0.0		0.0	0.0	Brachyspira	genus
				Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-				0.0				64.0				Bradyrhizobium.json					Bradyrhizobium	genus
				Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+	Aerobe	0.0		0.0								Brevibacillus.json	0.0		0.0	0.0	Brevibacillus	genus
				Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated	Human			Gram+	Aerobe	0.0		0.0								Brevibacterium.json				0.0	Brevibacterium	genus
				Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-		0.0	0	0.0								Brevundimonas.json	0.0			0.0	Brevundimonas	genus
	0.0	Brochothrix thermosphacta DSM 20171 = FSL F6-1036	Brochothrix thermosphacta	Brochothrix	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Human	1121126.0		GCF_000525935.1	2773858004.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Food production	Unclassified	Unclassified	Gram+	Facultative	0.0	Nonmotile	0.0	2489924.0	2512.0	905610.0	36.0	2409.0	95.9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/525/935/GCF_000525935.1_BthermosphactaTYPE	Brochothrix.json	0.0				Brochothrix	genus
				Brucella	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Aerobe	0.0		0.0								Brucella.json	0.0				Brucella	genus
Bulleidia extructa W1219 (679192.3)	2.0	Bulleidia extructa W1219	Bulleidia extructa	Bulleidia	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	Human	679192.0	679192.3	GCF_000177375.1	647000218.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Oral	Digestive system	Gram+	Anaerobe	0.0	Nonmotile	0.0	1419583.0	1461.0	514976.0	36.0	1415.0	96.85	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/375/GCF_000177375.1_ASM17737v1	Bulleidia.json				0.0	Bulleidia	genus
				Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Obligate aerobe	0.0		0.0				67.0				Burkholderia.json					Burkholderia	genus
				Butyricicoccus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human							0.0	0.0							Gram+	0	0.0	0	0.0								Butyricicoccus.json	0.0		0.0	0.0	Butyricicoccus	genus
				Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human															Gram-												Butyricimonas.json		GCF_900091675.1			Butyricimonas	genus
				Butyrivibrio	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated				Gram+	Anaerobe	0.0		0.0								Butyrivibrio.json					Butyrivibrio	genus
	0.0	Caecibacter massiliensis DSM 100188	Caecibacter massiliensis	Caecibacter	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	Human	1852378.0		GCF_900095875.1		PMID:30745586	Literature research									Gram-											ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/875/GCA_900095875.1_PRJEB15306	Caecibacter.json		GCF_900095875.1			Caecibacter	genus
	0.0	Caldibacillus thermoamylovorans	Bacillus thermoamylovorans	Caldibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Human	35841.0		GCF_000751775.1	2617271279.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Facultative anaerobe	0.0	0	0.0	3707071.0	3538.0	1381986.0	37.0	3449.0	97.48	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/775/GCF_000751775.1_A1A	Caldibacillus.json	0.0	GCF_000751775.1	0.0	0.0	Caldibacillus	genus
	0.0	Caldicellulosiruptor saccharolyticus DSM 8903	Caldicellulosiruptor saccharolyticus	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria	Human	351627.0		GCF_000016545.1	640427106.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Environmental	Aquatic	Unclassified	Thermal springs	Gram+	Anaerobe		0	0.0	2970275.0	2834.0	1047143.0	35.0	2760.0	97.39	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/545/GCF_000016545.1_ASM1654v1	Caldicellulosiruptor.json	0.0	GCF_000407285.15			Caldicellulosiruptor	genus
				Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0							Gram-	Microaerophile	0.0		0.0								Campylobacter.json	0.0		0.0	0.0	Campylobacter	genus
	0.0	Candidatus Borkfalkia ceftriaxoniphila	Candidatus Borkfalkia ceftriaxoniphila	Candidatus Borkfalkia	Candidatus Borkfalkiaceae	Candidatus Borkfalkiales	Clostridia	Firmicutes	Bacteria	Human	2508949.0		GCF_004134775.1		PMID:30658995	Literature research	0.0	0.0							Gram+	0	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/134/775/GCF_004134775.1_ASM413477v1	Candidatus_Borkfalkia.json	0.0	GCF_004134775.1	0.0	0.0	Candidatus_Borkfalkia	genus
Pelagibacter sp. IMCC9063 (1002672.3)	0.0	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter	Pelagibacteraceae	Pelagibacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Mouse	1002672.0	1002672.3	GCF_000195085.1	650716017.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Aquatic	Unclassified	Marine	Gram-	Aerobe	0.0	0	0.0	1284727.0	1482.0	406882.0	32.0	1447.0	97.64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/085/GCF_000195085.1_ASM19508v1	Candidatus_Pelagibacter.json	0.0				Candidatus_Pelagibacter	genus
	0.0	Candidatus Saccharimonas aalborgensis	Candidatus Saccharimonas aalborgensis	Candidatus Saccharimonas	Candidatus Saccharibacteria	Candidatus Saccharibacteria	Candidatus Saccharibacteria	Candidatus Saccharibacteria	Bacteria	Mouse	1332188.0				Personal communication, Dr. Jan Krumsiek	Personal communication									Gram+	0										https://www.ncbi.nlm.nih.gov/assembly/GCF_000392435.1/	Candidatus_Saccharimonas.json		GCF_000392435.1			Candidatus_Saccharimonas	genus
	0.0	Candidatus Soleaferrea massiliensis AP7	Candidatus Soleaferrea massiliensis	Candidatus Soleaferrea	Ruminococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1211843.0		GCF_000820765.1	2639762831.0	PMID:29793532	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	0	0.0	0	0.0	3098593.0	2472.0	1647157.0	53.0	2417.0	97.78	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/820/765/GCF_000820765.1_Arquibacterium_massiliensis_AP7	Candidatus_Soleaferrea.json	0.0		0.0	0.0	Candidatus_Soleaferrea	genus
	0.0	Candidatus Stoquefichus massiliensis AP9	Candidatus Stoquefichus massiliensis	Candidatus Stoquefichus	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	Human	1211844.0		GCF_000455285.1	2600255145.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	0	0.0	0	0.0	3433040.0	3568.0	1047727.0	31.0	3494.0	97.93	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/285/GCF_000455285.1_Sm_AP9	Candidatus_Stoquefichus.json	0.0		0.0	0.0	Candidatus_Stoquefichus	genus
				Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated				Gram-	Facultative	0.0										Capnocytophaga.json					Capnocytophaga	genus
				Cardiobacterium	Cardiobacteriaceae	Cardiobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria	Human						Literature research	0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Aerobe	0.0	0	0.0								Cardiobacterium.json				0.0	Cardiobacterium	genus
			Carnobacterium maltaromaticum	Carnobacterium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Human					PMID:31171880	Literature research	0.0	0.0	Yes	0.0					Gram+	Facultative anaerobe	0.0	0	0.0								Carnobacterium.json	0.0			0.0	Carnobacterium	genus
Catenibacterium mitsuokai DSM 15897 (451640.5)			Catenibacterium mitsuokai	Catenibacterium	Coprobacillaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	Human		451640.5	GCF_000173795.1	643886110.0			0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0		0.0	2671313.0	3052.0	983508.0	37.0	2977.0	97.54		Catenibacterium.json		NZ_LAYJ01000078			Catenibacterium	genus
Catonella morbi ATCC 51271 (592026.3)	1.0	Catonella morbi ATCC 51271	Catonella morbi	Catonella	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	592026.0	592026.3	GCF_000160035.2	643886188.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Digestive system	Gram+	Anaerobe	0.0	0		2041839.0	2005.0	959280.0	47.0	1950.0	97.26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/035/GCF_000160035.2_ASM16003v2	Catonella.json		GCF_000160035.2		0.0	Catonella	genus
Cedecea davisae DSM 4568 (566551.4)	2.0	Cedecea davisae DSM 4568	Cedecea davisae	Cedecea	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	566551.0	566551.4	GCF_000412335.2	2541046972.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	0	0.0	0	0.0	4853881.0	4898.0	2637750.0	54.0	4805.0	98.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/335/GCF_000412335.2_ASM41233v2	Cedecea.json				0.0	Cedecea	genus
	0.0			Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human				2547132154.0		Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Aerobe	0.0	0	0.0	3245876.0	3262.0	2429262.0	75.0	3204.0	98.22		Cellulomonas.json					Cellulomonas	genus
	0.0	Cellulosilyticum lentocellum DSM 5427	Cellulosilyticum lentocellum	Cellulosilyticum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	642492.0		GCF_000178835.2	650716026.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Environmental	Aquatic	Intertidal zone	Marine	Gram+	Anaerobe	0.0	Motile	0.0	4714237.0	4416.0	1618145.0	34.0	4272.0	96.74	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/835/GCF_000178835.2_ASM17883v2	Cellulosilyticum.json	0.0				Cellulosilyticum	genus
	0.0	Cellulosimicrobium cellulans J36	Cellulosimicrobium cellulans	Cellulosimicrobium	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human	935839.0		GCF_000526595.1	2508501028.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Facultative	0.0	0	0.0	4252182.0	3819.0	3176065.0	75.0	3759.0	98.43	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/595/GCF_000526595.1_ASM52659v1	Cellulosimicrobium.json	0.0		0.0	0.0	Cellulosimicrobium	genus
Centipeda periodontii DSM 2778 (888060.3)	1.0	Centipeda periodontii DSM 2778	Centipeda periodontii	Centipeda	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	Human	888060.0	888060.3	GCF_000213975.1	651324021.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Oral	Digestive system	Gram-	Aerobe	0.0	0		2716458.0	2698.0	1520829.0	56.0	2631.0	97.52	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/975/GCF_000213975.1_ASM21397v1	Centipeda.json				0.0	Centipeda	genus
	0.0	Cetobacterium somerae ATCC BAA-474	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	Human	1319815.0		GCF_000479045.1	2558860278.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	0	0.0	0	0.0	3064648.0	3014.0	875931.0	29.0	2975.0	98.71	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/045/GCF_000479045.1_ASM47904v1	Cetobacterium.json					Cetobacterium	genus
	0.0	Chania multitudinisentens RB-25	Chania multitudinisentens	Chania	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	1441930.0		GCF_000520015.2		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram-	0	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/015/GCF_000520015.2_ASM52001v2	Chania.json	0.0		0.0	0.0	Chania	genus
	1.0		Chlorobium phaeobacteroides	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria	Human					PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Environmental	Aquatic			Gram-	Facultative		Nonmotile	0.0								Chlorobium.json	0.0				Chlorobium	genus
	0.0			Christensenella	Christensenellaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human						Literature research	0.0	0.0	Yes	0.0					Gram+		0.0	0	0.0								Christensenella.json	0.0		0.0	0.0	Christensenella	genus
				Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobe	0.0		0.0								Citrobacter.json	0.0		0.0	0.0	Citrobacter	genus
	0.0	Cloacibacillus evryensis DSM 19522	Cloacibacillus evryensis	Cloacibacillus	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria	Human	866499.0		GCF_000585335.1	2510065052.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Wastewater	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	3488464.0	3142.0	1951857.0	56.0	3072.0	97.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/335/GCF_000585335.1_ASM58533v1	Cloacibacillus.json	0.0				Cloacibacillus	genus
	0.0	Cloacibacterium normanense	Cloacibacterium normanense	Cloacibacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Mouse	237258.0		GCF_900104195.1	2634166320.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Aquatic	Unclassified	Unclassified	Gram-	Facultative	0.0	0	0.0	2736266.0	2608.0	904251.0	33.0	2524.0	96.78	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/195/GCF_900104195.1_IMG-taxon_2634166320_annotated_assembly	Cloacibacterium.json	0.0		0.0	0.0	Cloacibacterium	genus
				Clostridioides	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria								0.0	0.0	Yes	0.0					Gram+		0.0		0.0								Clostridioides.json				0.0	Clostridioides	genus
				Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria								0.0	0.0	Yes	0.0					Gram+				0.0								Clostridium.json	0.0				Clostridium	genus
