pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species	refseq id	sample body site	habitat	cell shape	id	summary_rank
	0.0	Human	1280692.0		GCF_000424205.1	2524614698.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Obligate anaerobe	0.0	0	0.0	3542160.0	3459.0	1100790.0	31.0	3372.0	97.48	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/205/GCF_000424205.1_ASM42420v1	g__Clostridium_X.json	1280692.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_X	s__Clostridium_X cadaveris	GCF_000182605.1	0.0	0.0	0.0	g__Clostridium_X	genus
Cohnella laeviribosi DSM 21336 (1121346.3)	1.0	Mouse	1121346.0	1121346.3	GCF_000378425.1	2519899681.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram+	0	0.0	0	0.0	4478238.0	4285.0	2562464.0	57.0	4169.0	97.29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/425/GCF_000378425.1_ASM37842v1	g__Cohnella.json	1121346.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Cohnella	s__Cohnella laeviribosi		0.0		0.0	g__Cohnella	genus
		Human							0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	Nonmotile	0.0								g__Collinsella.json		d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella						g__Collinsella	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0		0.0								g__Comamonas.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Comamonas			0.0	0.0	0.0	g__Comamonas	genus
Lactobacillus farciminis KCTC 3681 (936140.3)		Human		936140.3				Literature research	0.0	0.0	Yes	0.0					Gram+	Aerobe	0.0	0	0.0								g__Companilactobacillus.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Companilactobacillus			0.0	0.0	0.0	g__Companilactobacillus	genus
		Human						Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified		Gram-	Anaerobe	0.0		0.0								g__Coprobacter.json		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Coprobacteraceae	g__Coprobacter			0.0	0.0	0.0	g__Coprobacter	genus
Coprococcus eutactus ATCC 27759 (411474.6)	2.0	Human	411474.0	411474.6	GCF_000154425.1	641380422.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	Nonmotile	0.0	3102087.0	3065.0	1336699.0	43.0	2982.0	97.29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/425/GCF_000154425.1_ASM15442v1	g__Coprococcus.json	411474.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus eutactus					g__Coprococcus	genus
Coprococcus catus GD/7 (717962.3)	2.0	Human	717962.0	717962.3	GCF_000210555.1	650377925.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	Nonmotile		3522704.0	3040.0	1494651.0	43.0	2985.0	98.19	https://www.ncbi.nlm.nih.gov/assembly/GCF_000210555.1/	g__Coprococcus_A.json	717962.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus_A	s__Coprococcus_A intestinihominis					g__Coprococcus_A	genus
Clostridium sp. ASF356 (97138.3)	1.0	Human	97138.0	97138.3	GCF_000364165.1	2517572005.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Mammals	Large intestine	Digestive system	Gram+	Obligate anaerobe	0.0	0	0.0	2857551.0	2874.0	879741.0	31.0	2810.0	97.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/165/GCF_000364165.1_Clos_bact_ASF356_V1	g__Coprocola.json	97138.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Coprocola	s__Coprocola sp000364165	GCF_000364165.1	0.0	0.0	0.0	g__Coprocola	genus
									0.0	0.0							Gram+				0.0								g__Corynebacterium.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium			0.0		0.0	g__Corynebacterium	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobe	0.0		0.0								g__Cronobacter.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter sakazakii		0.0			g__Cronobacter	genus
Cryptobacterium curtum DSM 15641 (469378.5)	2.0	Human	469378.0	469378.5	GCF_000023845.1	644736346.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Oral	Digestive system	Gram+	Obligate anaerobe	0.0	Nonmotile	0.0	1617804.0	1421.0	823649.0	51.0	1364.0	95.99	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/845/GCF_000023845.1_ASM2384v1	g__Cryptobacterium.json	469378.0	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Cryptobacterium	s__Cryptobacterium curtum	GCF_000339015.1				g__Cryptobacterium	genus
		Human															Gram-												g__Culturomica.json		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Culturomica		GCF_900091655.1				g__Culturomica	genus
	0.0	Mouse	1796618.0		GCF_004216775.1	2802428826.0	PMID:27670113	Literature research	0.0	0.0	Yes	0.0	Host-associated	Mammals	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0	3462725.0	3308.0	1699102.0	49.0	3230.0	97.64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/216/775/GCF_004216775.1_ASM421677v1	g__Cuneatibacter.json	1796618.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Cuneatibacter	s__Cuneatibacter caecimuris	GCF_004216775.1	0.0	0.0	0.0	g__Cuneatibacter	genus
Cupriavidus metallidurans CH34 (266264.4)	2.0	Human	266264.0	266264.4	GCF_000196015.1	637000230.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes	0.0	Environmental	Aquatic	Lentic	Freshwater	Gram-	Aerobe	0.0	Motile	0.0	6913352.0	6430.0	4392121.0	64.0	6340.0	98.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/015/GCF_000196015.1_ASM19601v1	g__Cupriavidus.json	266264.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidus metallidurans		0.0			g__Cupriavidus	genus
		Human							0.0	0.0	Yes	0.0					Gram+	Obligate aerobe	0.0	0	0.0				71.0				g__Curtobacterium.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium poinsettiae	GCF_000834535.1	0.0	0.0	0.0	g__Curtobacterium	genus
	0.0	Human	1336244.0		GCF_000518645.1	2545555856.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Aquatic	Unclassified	Freshwater	Gram-	0	0.0	0	0.0	6748240.0	6140.0	4452611.0	66.0	6071.0	98.88	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/518/645/GCF_000518645.1_ASM51864v1	g__Curvibacter.json	1336244.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Curvibacter	s__Curvibacter gracilis	GCF_000518645.1	0.0		0.0	g__Curvibacter	genus
		Human							0.0	0.0	Yes						Gram+	Anaerobe	0.0										g__Cutibacterium.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium						g__Cutibacterium	genus
	0.0	Human	1307436.0		GCF_000565285.1	2568526233.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Facultative anaerobe	0.0	0	0.0	4971242.0	5013.0	2060843.0	41.0	4922.0	98.18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/285/GCF_000565285.1_pBF	g__Cytobacillus.json	1307436.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Cytobacillaceae	g__Cytobacillus	s__Cytobacillus firmus_A		0.0	0.0	0.0	g__Cytobacillus	genus
	0.0	Mouse	51515.0		GCF_002224645.1	2811995020.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Engineered	Industrial production	Unclassified	Unclassified	Gram+	Anaerobe	0.0	0	0.0	3766545.0	3698.0	1625895.0	43.0	3605.0	97.49	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/224/645/GCF_002224645.1_ASM222464v1	g__Dehalobacterium.json	51515.0	d__Bacteria	p__Bacillota	c__Dehalobacteriia	o__Dehalobacteriales	f__Dehalobacteriaceae	g__Dehalobacterium	s__Dehalobacterium formicoaceticum		0.0	0.0	0.0	g__Dehalobacterium	genus
	0.0	Human					https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0							Gram+	Facultative anaerobe	0.0	0	0.0								g__Dellaglioa.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Dellaglioa	s__Dellaglioa algida		0.0	0.0	0.0	g__Dellaglioa	genus
Dermabacter sp. HFH0086 (1203568.3)	1.0	Human	1203568.0	1203568.3	GCF_000413375.1	2541047015.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Digestive system	Gram+	0	0.0	0		2361288.0	2190.0	1482415.0	63.0	2133.0	97.4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/413/375/GCF_000413375.1_Derm_sp_HFH0086_V1	g__Dermabacter.json	1203568.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Dermabacteraceae	g__Dermabacter	s__Dermabacter hominis	GCF_000413375.1			0.0	g__Dermabacter	genus
		Human							0.0	0.0							Gram+	Aerobe	0.0	0	0.0								g__Dermacoccus.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Dermatophilaceae	g__Dermacoccus	s__Dermacoccus nishinomiyaensis	GCF_000018665.1	0.0	0.0	0.0	g__Dermacoccus	genus
	1.0	Human					PMID:31275260	Literature research	0.0	0.0	Yes	0.0					Gram+	Anaerobe			0.0								g__Desulfitobacterium.json		d__Bacteria	p__Bacillota	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium hafniense		0.0			g__Desulfitobacterium	genus
	0.0	Human	888061.0		GCF_001553625.1	2684623057.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Digestive system	Gram-	Anaerobe	0.0	0		2783374.0	2623.0	1640120.0	59.0	2557.0	97.48	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/625/GCF_001553625.1_ASM155362v1	g__Desulfomicrobium.json	888061.0	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfomicrobiaceae	g__Desulfomicrobium	s__Desulfomicrobium orale	GCF_001553625.1			0.0	g__Desulfomicrobium	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Anaerobe		Motile	0.0								g__Desulfovibrio.json		d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio			0.0		0.0	g__Desulfovibrio	genus
		Human							0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Anaerobe	0.0										g__Dialister.json		d__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister						g__Dialister	genus
		Human							0.0	0.0	Yes	0.0			Unclassified		Gram+	Aerobe	0.0	0	0.0				71.0				g__Dietzia.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Dietzia		NZ_BCSW01000001	0.0		0.0	g__Dietzia	genus
Dolosigranulum pigrum ATCC 51524 (883103.3)		Human		883103.3		2513237341.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Cerebrospinal fluid	Nervous system	Gram+	Facultative anaerobe	0.0	0	0.0	1846028.0	1723.0	730416.0	40.0	1692.0	98.2		g__Dolosigranulum.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae_A	g__Dolosigranulum	s__Dolosigranulum pigrum				0.0	g__Dolosigranulum	genus
		Human							0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0								g__Dorea.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea formicigenerans					g__Dorea	genus
Dorea longicatena DSM 13814 (411462.6)	2.0	Human	411462.0	411462.6	GCF_000154065.1	640963046.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0	2913833.0	3045.0	1207633.0	41.0	2970.0	97.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/065/GCF_000154065.1_ASM15406v1	g__Dorea_A.json	411462.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena					g__Dorea_A	genus
		Human					PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Plants	Unclassified		Gram-	Aerobe		Nonmotile	0.0				52.0				g__Dyadobacter.json		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomataceae	g__Dyadobacter			0.0			g__Dyadobacter	genus
		Human							0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Anaerobe	0.0	0	0.0								g__Dysgonomonas.json		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas			0.0			g__Dysgonomonas	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobe	0.0		0.0								g__ECMA0423.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__ECMA0423	s__ECMA0423 sp047199055		0.0	0.0	0.0	g__ECMA0423	genus
		Human							0.0	0.0	Yes						Gram-	Facultative anaerobe	0.0		0.0								g__Edwardsiella.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Edwardsiella						g__Edwardsiella	genus
		Human							0.0	0.0	Yes	0.0					Gram+	Anaerobe	0.0						64.0				g__Eggerthella.json		d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella					0.0	g__Eggerthella	genus
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	2.0	Human	999415.0	999415.3	GCF_000422605.1	2537561938.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Oral	Digestive system	Gram+	Anaerobe	0.0	Nonmotile	0.0	1935589.0	1952.0	634369.0	33.0	1884.0	96.52	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/605/GCF_000422605.1_ASM42260v1	g__Eggerthia.json	999415.0	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Coprobacillaceae	g__Eggerthia	s__Eggerthia catenaformis					g__Eggerthia	genus
		Human							0.0	0.0	Yes		Host-associated			Respiratory system	Gram-	Microaerophile	0.0		0.0								g__Eikenella.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Eikenella						g__Eikenella	genus
									0.0	0.0	Yes	0.0	Host-associated	Human			Gram+		0.0	0									g__Eisenbergiella.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella		GCF_000466465.2			0.0	g__Eisenbergiella	genus
Elusimicrobium minutum Pei191 (445932.6)	1.0	Human	445932.0	445932.6	GCF_000020145.1	642555127.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Insecta	Unclassified	Digestive system	Gram-	Anaerobe		0		1643562.0	1596.0	656638.0	40.0	1548.0	96.99	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/145/GCF_000020145.1_ASM2014v1	g__Elusimicrobium.json	445932.0	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	s__Elusimicrobium minutum				0.0	g__Elusimicrobium	genus
	0.0	Human							0.0	0.0	Yes	0.0	Host-associated			Digestive system	Gram+		0.0		0.0				66.0				g__Enorma.json		d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Enorma			0.0	0.0		g__Enorma	genus
		Human							0.0	0.0	Yes	0.0					Gram-		0.0		0.0								g__Enterobacter.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter			0.0	0.0	0.0	g__Enterobacter	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Facultative	0.0	Motile	0.0				57.0				g__Enterobacter_B.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter_B	s__Enterobacter_B lignolyticus		0.0	0.0		g__Enterobacter_B	genus
									0.0	0.0	Yes	0.0					Gram+		0.0		0.0								g__Enterocloster.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster					0.0	g__Enterocloster	genus
		Human							0.0	0.0	Yes						Gram+	Facultative anaerobe	0.0		0.0								g__Enterococcus.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis		0.0		0.0	g__Enterococcus	genus
		Human							0.0	0.0	Yes	0.0	Host-associated				Gram+	Facultative anaerobe	0.0	0	0.0								g__Enterococcus_A.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_A			0.0	0.0	0.0	g__Enterococcus_A	genus
		Human							0.0	0.0	Yes	0.0					Gram+	Facultative anaerobe	0.0		0.0								g__Enterococcus_B.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B			0.0		0.0	g__Enterococcus_B	genus
		Human							0.0	0.0	Yes	0.0	Host-associated		Unclassified	Unclassified	Gram+	Facultative anaerobe	0.0	0	0.0								g__Enterococcus_C.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C				0.0	0.0	g__Enterococcus_C	genus
		Human							0.0	0.0	Yes						Gram+	Facultative anaerobe	0.0		0.0								g__Enterococcus_D.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_D			0.0			g__Enterococcus_D	genus
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	2.0	Human	1121864.0	1121864.4	GCF_001885885.1	2515154031.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Birds	Unclassified	Digestive system	Gram+	Facultative anaerobe	0.0	Nonmotile	0.0	2342719.0	2445.0	850626.0	36.0	2363.0	96.65	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/885/885/GCF_001885885.1_ASM188588v1	g__Enterococcus_E.json	1121864.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E cecorum	GCF_000273565.1	0.0			g__Enterococcus_E	genus
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	2.0	Human	1139996.0	1139996.4	GCF_000407005.1	2545824663.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes	0.0	Host-associated	Plants	Unclassified	Unclassified	Gram+	Facultative anaerobe	0.0	0	0.0	2591178.0	2625.0	955777.0	37.0	2582.0	98.36	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/005/GCF_000407005.1_Ente_sacc_ATCC43076_V1	g__Enterococcus_F.json	1139996.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_F	s__Enterococcus_F saccharolyticus	GCF_000234175.1	0.0	0.0	0.0	g__Enterococcus_F	genus
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	2.0	Human	1158610.0	1158610.4	GCF_000407505.1	2558860915.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Birds	Unclassified	Unclassified	Gram+	Facultative anaerobe	0.0	0	0.0	3921813.0	3587.0	1428916.0	36.0	3521.0	98.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/505/GCF_000407505.1_Ente_phoe_BAA-412_V2	g__Enterococcus_K.json	1158610.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_K	s__Enterococcus_K phoeniculicola		0.0	0.0	0.0	g__Enterococcus_K	genus
Enterococcus caccae ATCC BAA-1240 (1158612.4)	2.0	Human	1158612.0	1158612.4	GCF_000407145.1	2558860917.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Facultative anaerobe	0.0	0	0.0	3544970.0	3311.0	1269089.0	36.0	3246.0	98.04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/145/GCF_000407145.1_Ente_cocc_BAA-1240_V2	g__Enterococcus_L.json	1158612.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_L	s__Enterococcus_L caccae		0.0		0.0	g__Enterococcus_L	genus
Eggerthella sp. YY7918 (502558.4)	2.0	Human	502558.0	502558.4	GCF_000270285.1	650716034.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Digestive system	Gram+	Anaerobe	0.0	0		3123671.0	2730.0	1755518.0	56.0	2680.0	98.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/285/GCF_000270285.1_ASM27028v1	g__Enteroscipio.json	502558.0	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Enteroscipio	s__Enteroscipio sp000270285				0.0	g__Enteroscipio	genus
Grimontia hollisae CIP 101886 (675812.3)	2.0	Human	675812.0	675812.3	GCF_000176515.1	647000258.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Facultative	0.0	Motile	0.0	4002786.0	3694.0	1980305.0	49.0	3567.0	96.56	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/515/GCF_000176515.1_ASM17651v1	g__Enterovibrio.json	675812.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Enterovibrio	s__Enterovibrio hollisae					g__Enterovibrio	genus
Eremococcus coleocola ACS-139-V-Col8 (908337.3)	1.0	Human	908337.0	908337.3	GCF_000183205.1	649989944.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Vagina	Reproductive system	Gram+	Facultative anaerobe	0.0	0		1773745.0	1773.0	691122.0	39.0	1720.0	97.01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/205/GCF_000183205.1_ASM18320v1	g__Eremococcus.json	908337.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Eremococcus	s__Eremococcus coleocola				0.0	g__Eremococcus	genus
	0.0	Human					https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0							Gram-	0	0.0	0	0.0								g__Erwinia.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Erwinia			0.0	0.0	0.0	g__Erwinia	genus
Erysipelothrix rhusiopathiae ATCC 19414 (525280.3)		Mouse		525280.3			Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Host-associated		Unclassified	Unclassified	Gram+	Facultative	0.0		0.0								g__Erysipelothrix.json		d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Erysipelothrix	s__Erysipelothrix rhusiopathiae					g__Erysipelothrix	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobe	0.0		0.0								g__Escherichia.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia			0.0	0.0	0.0	g__Escherichia	genus
Butyrivibrio crossotus DSM 2876 (511680.4)	2.0	Human	511680.0	511680.4	GCF_000156015.1	645951834.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	Motile	0.0	2482791.0	2546.0	937167.0	38.0	2495.0	98.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/015/GCF_000156015.1_ASM15601v1	g__Eshraghiella.json	511680.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eshraghiella	s__Eshraghiella crossota					g__Eshraghiella	genus
